الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
محمود رحال _عثمان اسماعيل ,2019_2020,المساعد الطبي الآلي ,بناء روبوت مساعد طبي يقوم بإعطاء الادوية لمريض في الوقت محدد وتقديم الطعام المناسب 
عامر بوشي _محمد ايمن نعال,2019_2020,المنبه المكاني الذكي,تصميم دارة تقوم بتنبيه المستخدم عند وصوله لمكان معين
محمود رحال _ عثمان اسماعيل , 2019 _2020,تصميم وتنفيذ عربة تسوق ذكية,تطبيق Android يقوم بقراءة الباركود من اجل مسح الأغذية والمنتجات المرغوب شراؤها اثناء وضعها في العربة
,,,
محمود رحال _عثمان اسماعيل,2019_2020,توليد كود برمجي لواجهة المستخدم,تحويل الصور المرسومة من خلال برامج رسوميات او مرسومة بخط اليد بواسطة عدسةالكاميرا او عدسة تلفون الى صفحة ويب html and css
محمود رحال _ ديمة مفتي الشوافعة, 2019_2020,ذراع روبوت فرز وتجميع صناعي ,يوجد العديد من روبوتات والاذرع التي تستخدم في مصانع لتقوم بمهام معينة في خطوط الانتاج التي تنتح عينات مختلفة وتحتاج الي فرز وتجميع وبذلك نلجأ لحل هذه المشكلة باستخدام حساس الالوان وحساس مغناطيسي وستتم عملية الفرز حسب قراءات الحساسات لمكعبات العمل
عامر بوشي,2019_2020,التسوق الالكتروني عبر الانترنيت,يهدف هذا التطبيق الى جعل التسوق اكثر سلاسة وبساطة وجعل عملية عملية الاتمتة بالنسبة لمالكي تطبيق اكثر سهولة في حساب اسعار منتجات ومعرفة عدد القطع المتوفرة في مستودع 
حازم عيسى,2019_2020,نظام ملاحة باستخدام تقنية الواقع المعزز,تقديم تطبيق اندرويد للمستخدم يوفر له نظام ملاحة متكامل بدلا من استخدام خرائط جوجل التقليدية
عامر بوشي _زكريا مهروسة,2019_2020,ادارة متجر الالبسة ,تطبيق خاص للمستخدمين حيث يستطيع الزبون من خلاله استعراض الالبسة الموجودة مع تصنيف الالبسة  وتطبيق الادارة خاص بصاحب المتجر حيث يستطيع استعراض طلبات القادمة واضافتها الى جدول الفواتير واستعراض المستخدمين وؤية اماكنهم 
محمود رحال_زكريا مهروسة,2019_2020,كرسي مساعدة مرضى الشلل الرباعي,تصميم نظام مساعد طبي للإعاقة الحركية حيث مصابين بالشلل لايتمكنو على الحركة والسيطرة على اعضاء الرأس فبتالي هذا المشروع يساعد المريض بالتحريك تبعا لزاوية حركة الرأس
محمود رحال_ حازم عيسى,2019_2020,التحكم بروبوت عن طريق الانترنيت,صناعة روبوت يمكن التحكم به والحصول على قراءات الحساسات بواسطة الانترنيت من اي مكان في العالم 
حازم عيسى,2019_2020,تصميم موقع تواصل اجتماعي ,"قدرة على تواصل مع الاخرين ,والسرعة والسهولة في التواصل , الترويج للمنتجات والخدمات , متابعة الاخبار والاحداث "
محمود رحال_ ديمة مفتي الشوافعة,2019_2020,العصا الذكية لمساعدة المكفوفين,تعبر عصا المكفوفين من اهم الادوات المتاحة في تحديد بعد العوائق في محيط المكفوف حيث تعتبر صلة الوصل بين المكفوف والبيئة المحيطة به 
عامر بوشي_ محمد أيمن نعال,2019_2020,الشيف الذكي,يهدف تطبيق الى مساعدة المستخدمين على ابتكار وصفات طعام بناء على مكونات المتوفرة لديهم مع تقديم نصائح غذائية  
محمود رحال_ زكريا مهروسة,2019_2020,تصميم وتنفيذ روبوت ذاتي الحركة قادر على رسم خرائط ثلاثية الابعاد عبر ماتلاب,روبوت هو الالة ميكانيكية قادرة على قيام بأعمال مبرمجة مسبقا اما بإشارة وسيطرة مباشرة من الانسان او بأشارة من برامج حاسوبية 
